261,"Formação sobre Reorientação Curricular do Ensino Fundamental com Professores do 2º Ano",08/04/10,"Centro de Formação de Osasco",05
262,"Formação sobre Reorientação Curricular do Ensino Fundamental com Professores do 2º Ano",08/04/10,"Centro de Formação de Osasco",06
263,"Formação sobre Reorientação Curricular do Ensino Fundamental com Professores do 2º Ano",08/04/10,"Centro de Formação de Osasco",06
264,"Formação sobre RECEF para Professores de 3º ano ",08/05/10,"Centro de Formação de Osasco",01
265,"Formação sobre RECEF para Professores de 3º ano ",08/05/10,"Centro de Formação de Osasco",02
266,"Formação sobre RECEF para Professores de 3º Ano",08/05/10,"Centro de Formação de Osasco",03
267,"Formação sobre RECEF para Professores de 3º Ano ",08/05/10,"Centro de Formação de Osasco",04
268,"Formação sobre RECEF para Professores de 3º Ano",08/05/10,"Centro de Formação de Osasco",05
269,"Formação sobre RECEF para Professores de 3º Ano",08/06/10,"Centro de Formação de Osasco",06
270,"Formação sobre RECEF para Professores de 3º ano",08/06/10,"Centro de Formação de Osasco",07
271,"Formação sobre RECEF para Professores de 3º ano",08/06/10,"Centro de Formação de Osasco",08
272,"Formação sobre RECEF para Professores de 3º ano",10/07/10,"Centro de Formação de Osasco",09
273,"Formação sobre RECEF para Professores de 3º ano",10/07/10,"Centro de Formação de Osasco",10
274,"Formação sobre RECEF para Professores de 3º ano",10/07/10,"Centro de Formação de Osasco",11
275,"Formação sobre RECEF para Professores de 3º ano",10/07/10,"Centro de Formação de Osasco",12
276,"Formação sobre RECEF para Professores de 3º ano",10/10/10,"Centro de Formação de Osasco",13
277,"Formação sobre RECEF para Professores de 3º ano",10/08/10,"Centro de Formação de Osasco",14
278,"Formação sobre RECEF para Professores de 3º ano",10/08/10,"Centro de Formação de Osasco",15
279,"Formação sobre a Reorientação Curricular do Ensino Fundamental",03/04/10,"Centro de Formação de Osasco",01
280,"Formação sobre a Reorientação Curricular do Ensino Fundamental",03/04/10,"Centro de Formação de Osasco",02
281,"Formação sobre a Reorientação Curricular do Ensino Fundamental",04/06/10,"Centro de Formação de Osasco",03
282,"Formação sobre a Reorientação Curricular do Ensino Fundamental",05/06/10,"Centro de Formação de Osasco",04
283,"Formação sobre a Reorientação Curricular do Ensino Fundamental",04/08/10,"Centro de Formação de Osasco",05
284,"Formação sobre a Reorientação Curricular do Ensino Fundamental",04/08/10,"Centro de Formação de Osasco",06
285,"Formação sobre a Reorientação Curricular do Ensino Fundamental",06/10/10,"Centro de Formação de Osasco",07
286,"Formação sobre a Reorientação Curricular do Ensino Fundamental",06/10/10,"Centro de Formação de Osasco",08
287,"Formação Complementar sobre Reorientação Curricular do Ensino Fundamental",04/07/10,"Centro de Formação de Osasco",01
288,"Formação Complementar sobre RECEF com Coordenadores Pedagógicos",03/07/10,"Centro de Formação de Osasco",02
289,"Formação Complementar sobre PTA (Plano de Trabalho Anual) com Coordenadores Pedagógicos",04/06/10,"Centro de Formação de Osasco",03
290,"Formação Complementar sobre RECEF com Coordenadores Pedagógicos",05/05/10,"Centro de Formação de Osasco",04
291,"Formação Complementar sobre Reorientação Curricular do Ensino Fundamental",06/09/10,"Centro de Formação de Osasco",05
292,"Formação Complementar sobre Reorientação Curricular do Ensino Fundamental",06/11/10,"Centro de Formação de Osasco",06
293,"Formação Complementar sobre PTA (Plano de Trabalho Anual) com Coordenadores Pedagógicos",04/09/10,"Centro de Formação de Osasco",07
294,"Formação Complementar sobre RECEF com Coordenadores Pedagógicos",04/09/10,"Centro de Formação de Osasco",08
295,"Formação Complementar sobre Reorientação Curricular do Ensino Fundamental",06/22/10,"Centro de Formação de Osasco",09
296,"Encontro de Formação das Salas de Apoio Pedagógico (SAP)",03/12/10,"Centro de Formação de Osasco",01
297,"Encontro de Formação das Salas de Apoio Pedagógico (SAP)",03/19/10,"Centro de Formação de Osasco",02
298,"Encontro de Formação das Salas de Apoio Pedagógico (SAP)",03/26/10,"Centro de Formação de Osasco",03
299,"Encontro de Formação das Salas de Apoio Pedagógico (SAP)",04/09/10,"Centro de Formação de Osasco",04
